file_name,width,height,x1,y1,x2,y2,category
000_0001.png,134,128,19,7,120,117,0
000_0002.png,165,151,23,12,149,138,0
000_0003.png,128,122,22,14,116,105,0
000_0010.png,80,73,14,8,67,63,0
000_0011.png,186,174,36,15,155,157,0
000_0012.png,186,164,22,15,162,150,0
000_0013.png,158,127,31,15,134,113,0
000_0014.png,155,125,27,13,132,111,0
000_0015.png,156,137,33,15,136,117,0
000_0016.png,94,87,17,11,83,75,0
000_0017.png,322,302,50,24,281,286,0
000_0018.png,212,194,39,14,184,180,0
000_0019.png,315,281,51,23,275,257,0
000_0020.png,104,90,19,14,85,79,0
000_0021.png,108,94,21,13,90,80,0
000_0022.png,103,90,19,12,88,78,0
000_0023.png,103,92,19,13,87,78,0
000_0024.png,96,92,17,14,81,80,0
000_0025.png,86,87,13,13,79,76,0
000_0026.png,105,99,17,7,92,87,0
000_0027.png,84,68,21,13,69,58,0
000_0028.png,82,71,16,10,67,59,0
000_0029.png,80,69,16,10,64,58,0
000_0030.png,72,68,12,9,63,58,0
000_0031.png,95,79,20,15,72,65,0
000_0032.png,80,64,14,8,64,54,0
000_0033.png,65,65,14,15,51,56,0
000_0034.png,70,60,15,12,53,53,0
000_0035.png,85,75,19,15,67,63,0
000_0036.png,57,60,10,9,47,53,0
001_0001.png,69,62,16,12,54,48,1
001_0002.png,78,75,19,13,67,59,1
001_0003.png,87,78,22,15,68,61,1
001_0004.png,78,65,17,9,66,56,1
001_0005.png,84,73,16,10,64,59,1
001_0006.png,77,68,15,10,63,58,1
001_0007.png,79,74,16,12,64,59,1
001_0008.png,118,119,19,17,103,103,1
001_0009.png,131,124,23,15,111,110,1
001_0010.png,80,81,17,16,70,71,1
001_0011.png,97,84,19,11,82,77,1
001_0012.png,107,99,21,15,91,81,1
001_0013.png,146,139,30,24,127,118,1
001_0014.png,148,136,32,23,125,112,1
001_0015.png,101,89,19,11,87,77,1
002_0001.png,79,82,16,18,67,69,2
002_0002.png,86,83,16,14,74,72,2
002_0003.png,182,165,31,24,154,150,2
002_0004.png,255,210,55,42,203,192,2
002_0005.png,170,161,28,27,147,145,2
002_0006.png,170,161,31,30,139,139,2
002_0007.png,92,81,22,12,73,66,2
002_0008.png,233,219,45,30,190,185,2
002_0009.png,99,86,22,14,77,68,2
002_0010.png,95,76,21,12,77,66,2
002_0011.png,157,138,35,22,129,114,2
002_0012.png,116,97,25,14,90,80,2
002_0013.png,88,81,20,13,68,66,2
002_0014.png,97,86,20,11,76,77,2
002_0015.png,177,156,44,22,143,137,2
002_0016.png,87,75,20,11,69,66,2
002_0017.png,145,127,31,19,123,110,2
002_0018.png,84,67,22,11,68,54,2
002_0019.png,154,140,29,20,129,122,2
002_0020.png,180,143,46,28,143,125,2
002_0021.png,127,125,27,25,107,102,2
002_0022.png,127,114,28,13,108,94,2
002_0023.png,132,108,27,15,105,92,2
002_0024.png,117,119,25,21,101,93,2
002_0025.png,155,142,27,19,130,122,2
002_0026.png,158,151,26,24,130,125,2
002_0027.png,94,75,23,17,70,63,2
002_0028.png,86,79,20,15,69,62,2
002_0029.png,319,275,59,37,280,244,2
002_0034.png,265,225,37,18,238,208,2
002_0035.png,142,131,18,18,125,115,2
002_0036.png,235,214,33,34,206,201,2
003_0001.png,85,76,20,10,67,58,3
003_0002.png,98,92,20,17,83,75,3
003_0003.png,122,112,24,16,102,93,3
003_0004.png,72,62,13,7,59,52,3
003_0005.png,116,102,24,15,95,87,3
003_0006.png,85,80,13,16,64,66,3
003_0007.png,82,75,17,12,64,57,3
003_0008.png,134,121,35,24,108,96,3
003_0009.png,181,177,25,25,159,158,3
003_0010.png,219,212,30,22,195,189,3
003_0011.png,130,126,20,17,106,108,3
003_0012.png,143,135,28,22,120,115,3
003_0013.png,88,88,19,13,72,71,3
003_0014.png,78,68,18,8,63,57,3
003_0015.png,88,77,16,11,73,69,3
003_0016.png,97,85,18,12,75,71,3
003_0017.png,147,130,25,15,126,115,3
003_0018.png,94,80,16,10,73,67,3
003_0019.png,107,103,19,14,89,86,3
003_0020.png,130,112,21,14,103,99,3
003_0021.png,97,92,17,11,78,78,3
003_0022.png,96,89,17,9,81,76,3
003_0023.png,99,90,16,12,80,77,3
003_0024.png,97,97,19,15,81,79,3
003_0025.png,99,93,16,9,86,84,3
003_0026.png,111,100,20,13,91,88,3
003_0027.png,96,84,16,12,78,71,3
003_0028.png,104,88,23,11,84,72,3
003_0029.png,153,143,42,12,117,128,3
003_0030.png,331,311,47,35,294,281,3
003_0031.png,113,99,20,12,94,82,3
003_0032.png,85,78,16,15,66,63,3
003_0033.png,150,149,19,20,130,125,3
003_0034.png,144,140,19,16,129,122,3
003_0035.png,51,50,7,9,39,39,3
003_0036.png,132,122,23,17,109,99,3
003_0037.png,84,78,18,15,70,60,3
003_0038.png,178,162,32,29,145,135,3
003_0039.png,103,89,18,11,86,74,3
003_0040.png,155,142,29,19,135,123,3
003_0041.png,142,130,19,8,124,113,3
003_0042.png,131,110,26,15,112,99,3
003_0043.png,244,209,35,19,209,187,3
003_0044.png,168,150,24,11,151,137,3
003_0045.png,235,235,30,34,216,210,3
003_0046.png,131,130,16,15,113,110,3
003_0047.png,73,62,15,8,65,53,3
003_0048.png,123,123,14,20,109,104,3
003_0049.png,167,165,25,33,149,140,3
003_0050.png,122,114,19,17,111,98,3
003_0051.png,111,104,20,12,94,87,3
003_0052.png,202,207,26,24,177,174,3
003_0053.png,260,258,42,39,237,217,3
003_0054.png,133,129,24,22,113,109,3
003_0055.png,206,201,31,32,174,169,3
003_0056.png,96,85,22,13,83,72,3
003_0057.png,227,218,32,27,197,181,3
003_0058.png,179,177,24,19,162,155,3
003_0059.png,85,80,11,7,72,66,3
003_0060.png,123,123,16,19,106,107,3
003_0061.png,151,141,21,28,129,116,3
003_0062.png,244,235,34,42,214,198,3
003_0063.png,166,158,21,21,147,139,3
003_0064.png,135,131,26,20,115,110,3
003_0065.png,222,203,38,31,192,182,3
003_0066.png,151,146,28,21,131,122,3
003_0067.png,235,227,31,25,205,197,3
003_0068.png,176,159,31,21,153,141,3
003_0069.png,123,109,24,15,99,90,3
003_0070.png,114,110,23,18,97,94,3
003_0071.png,230,212,38,33,192,187,3
